Time, Demand_HH, Demand_EV, Demand_Total
2019 Aug 19 (Mon) 0:00, 17460.2, 7400, 24860.2
2019 Aug 19 (Mon) 0:30, 16002.4, 7400, 23402.4
2019 Aug 19 (Mon) 1:00, 14566.9, 7400, 21966.9
2019 Aug 19 (Mon) 1:30, 13454.1, 7400, 20854.1
2019 Aug 19 (Mon) 2:00, 13220.4, 7400, 20620.4
2019 Aug 19 (Mon) 2:30, 12497.1, 7400, 19897.1
2019 Aug 19 (Mon) 3:00, 12497.1, 7400, 19897.1
2019 Aug 19 (Mon) 3:30, 12897.8, 7400, 20297.8
2019 Aug 19 (Mon) 4:00, 12697.3, 7400, 20097.3
2019 Aug 19 (Mon) 4:30, 13676.6, 7400, 21076.6
2019 Aug 19 (Mon) 5:00, 14322, 7400, 21722
2019 Aug 19 (Mon) 5:30, 16391.9, 7400, 23791.9
2019 Aug 19 (Mon) 6:00, 17749.4, 7400, 25149.4
2019 Aug 19 (Mon) 6:30, 18929.1, 7400, 26329.1
2019 Aug 19 (Mon) 7:00, 20297.7, 7400, 27697.7
2019 Aug 19 (Mon) 7:30, 21821.5, 7400, 29221.5
2019 Aug 19 (Mon) 8:00, 21411.1, 7400, 28811.1
2019 Aug 19 (Mon) 8:30, 19651.7, 7400, 27051.7
2019 Aug 19 (Mon) 9:00, 19385.7, 0, 19385.7
2019 Aug 19 (Mon) 9:30, 19019, 0, 19019
2019 Aug 19 (Mon) 10:00, 18172.4, 0, 18172.4
2019 Aug 19 (Mon) 10:30, 17315.5, 0, 17315.5
2019 Aug 19 (Mon) 11:00, 17604.8, 0, 17604.8
2019 Aug 19 (Mon) 11:30, 18228, 0, 18228
2019 Aug 19 (Mon) 12:00, 18528.4, 0, 18528.4
2019 Aug 19 (Mon) 12:30, 18673.2, 0, 18673.2
2019 Aug 19 (Mon) 13:00, 18940.3, 0, 18940.3
2019 Aug 19 (Mon) 13:30, 17994.3, 0, 17994.3
2019 Aug 19 (Mon) 14:00, 18027.8, 0, 18027.8
2019 Aug 19 (Mon) 14:30, 17638.3, 0, 17638.3
2019 Aug 19 (Mon) 15:00, 18962.6, 0, 18962.6
2019 Aug 19 (Mon) 15:30, 20265.4, 0, 20265.4
2019 Aug 19 (Mon) 16:00, 21644.8, 0, 21644.8
2019 Aug 19 (Mon) 16:30, 23102.1, 0, 23102.1
2019 Aug 19 (Mon) 17:00, 25684.2, 0, 25684.2
2019 Aug 19 (Mon) 17:30, 28488.6, 0, 28488.6
2019 Aug 19 (Mon) 18:00, 31437.4, 0, 31437.4
2019 Aug 19 (Mon) 18:30, 33740.2, 7400, 41140.2
2019 Aug 19 (Mon) 19:00, 34008.1, 7400, 41408.1
2019 Aug 19 (Mon) 19:30, 34619.9, 7400, 42019.9
2019 Aug 19 (Mon) 20:00, 33318.4, 7400, 40718.4
2019 Aug 19 (Mon) 20:30, 33451.4, 7400, 40851.4
2019 Aug 19 (Mon) 21:00, 32784.5, 7400, 40184.5
2019 Aug 19 (Mon) 21:30, 31327.2, 7400, 38727.2
2019 Aug 19 (Mon) 22:00, 28410.7, 7400, 35810.7
2019 Aug 19 (Mon) 22:30, 26330.2, 7400, 33730.2
2019 Aug 19 (Mon) 23:00, 23390.9, 7400, 30790.9
2019 Aug 19 (Mon) 23:30, 20487.7, 7400, 27887.7
2019 Aug 20 (Tue) 0:00, 17460.2, 7400, 24860.2
