Time, 10_EV, 11_EV, 12_EV, 13_EV, 14_EV, 15_EV, 16_EV, 17_EV, 18_EV, 19_EV, 1_EV, 20_EV, 21_EV, 22_EV, 23_EV, 24_EV, 26_EV, 27_EV, 29_EV, 2_EV, 30_EV, 31_EV, 32_EV, 33_EV, 36_EV, 37_EV, 39_EV, 3_EV, 40_EV, 42_EV, 43_EV, 44_EV, 45_EV, 46_EV, 47_EV, 48_EV, 49_EV, 4_EV, 50_EV, 51_EV, 52_EV, 54_EV, 55_EV, 56_EV, 58_EV, 59_EV, 60_EV, 61_EV, 62_EV, 63_EV, 65_EV, 7_EV, 8_EV, 9_EV, 
2019 Aug 19 (Mon) 6:00, 100, 98.8601, 100, 98.1562, 100, 100, 100, 98.1581, 100, 100, 100, 100, 100, 100, 99.976, 100, 100, 100, 99.7026, 100, 99.2366, 98.6509, 100, 98.3305, 100, 100, 100, 100, 98.2217, 99.1661, 100, 100, 99.2438, 100, 98.8577, 99.6245, 100, 98.9958, 100, 100, 100, 100, 100, 98.75, 99.2296, 100, 100, 100, 100, 99.7181, 100, 100, 100, 99.358, 
2019 Aug 19 (Mon) 6:30, 100, 98.8601, 100, 98.1562, 100, 100, 100, 98.1581, 100, 100, 100, 100, 100, 100, 99.976, 100, 100, 100, 99.7026, 100, 99.2366, 98.6509, 100, 98.3305, 100, 100, 100, 100, 98.2217, 99.1661, 100, 100, 99.2438, 100, 98.8577, 99.6245, 100, 98.9958, 100, 100, 100, 100, 100, 98.75, 99.2296, 100, 100, 100, 100, 99.7181, 100, 100, 100, 99.358, 
2019 Aug 19 (Mon) 7:00, 100, 98.8601, 100, 98.1562, 100, 100, 100, 98.1581, 100, 100, 100, 100, 100, 100, 99.976, 100, 100, 100, 99.7026, 100, 99.2366, 98.6509, 100, 98.3305, 100, 100, 100, 100, 98.2217, 99.1661, 100, 100, 99.2438, 100, 98.8577, 99.6245, 100, 98.9958, 100, 100, 100, 100, 100, 98.75, 99.2296, 100, 100, 100, 100, 99.7181, 100, 100, 100, 99.358, 
2019 Aug 19 (Mon) 7:30, 100, 98.8601, 100, 98.1562, 100, 100, 100, 98.1581, 100, 100, 100, 100, 100, 100, 99.976, 100, 100, 100, 99.7026, 100, 99.2366, 98.6509, 100, 98.3305, 100, 100, 100, 100, 98.2217, 99.1661, 100, 100, 99.2438, 100, 98.8577, 99.6245, 100, 98.9958, 100, 100, 100, 100, 100, 98.75, 99.2296, 100, 100, 100, 100, 99.7181, 100, 100, 100, 99.358, 
2019 Aug 19 (Mon) 8:00, 100, 98.8601, 100, 98.1562, 100, 100, 100, 98.1581, 100, 100, 100, 100, 100, 100, 99.976, 100, 100, 100, 99.7026, 100, 99.2366, 98.6509, 100, 98.3305, 100, 100, 100, 100, 98.2217, 99.1661, 100, 100, 99.2438, 100, 98.8577, 99.6245, 100, 98.9958, 100, 100, 100, 100, 100, 98.75, 99.2296, 100, 100, 100, 100, 99.7181, 100, 100, 100, 99.358, 
2019 Aug 19 (Mon) 8:30, 100, 98.8601, 100, 98.1562, 100, 100, 100, 98.1581, 100, 100, 100, 100, 100, 100, 99.976, 100, 100, 100, 99.7026, 100, 99.2366, 98.6509, 100, 98.3305, 100, 100, 100, 100, 98.2217, 99.1661, 100, 100, 99.2438, 100, 98.8577, 99.6245, 100, 98.9958, 100, 100, 100, 100, 100, 98.75, 99.2296, 100, 100, 100, 100, 99.7181, 100, 100, 100, 99.358, 
2019 Aug 19 (Mon) 9:00, 100, 98.8601, 100, 98.1562, 100, 100, 100, 98.1581, 100, 100, 100, 100, 100, 100, 99.976, 100, 100, 100, 99.7026, 100, 99.2366, 98.6509, 100, 98.3305, 100, 100, 100, 100, 98.2217, 99.1661, 100, 100, 99.2438, 100, 98.8577, 99.6245, 100, 98.9958, 100, 100, 100, 100, 100, 98.75, 99.2296, 100, 100, 100, 100, 99.7181, 100, 100, 100, 99.358, 
2019 Aug 19 (Mon) 9:30, 100, 98.8601, 100, 98.1562, 100, 100, 100, 98.1581, 100, 100, 100, 100, 100, 100, 99.976, 100, 100, 100, 99.7026, 100, 99.2366, 98.6509, 100, 98.3305, 100, 100, 100, 100, 98.2217, 99.1661, 100, 100, 99.2438, 100, 98.8577, 99.6245, 100, 98.9958, 100, 100, 100, 100, 100, 98.75, 99.2296, 100, 100, 100, 100, 99.7181, 100, 100, 100, 99.358, 
2019 Aug 19 (Mon) 10:00, 100, 98.8601, 100, 98.1562, 100, 100, 100, 98.1581, 100, 100, 100, 100, 100, 100, 99.976, 100, 100, 100, 99.7026, 100, 99.2366, 98.6509, 100, 98.3305, 100, 100, 100, 100, 98.2217, 99.1661, 100, 100, 99.2438, 100, 98.8577, 99.6245, 100, 98.9958, 100, 100, 100, 100, 100, 98.75, 99.2296, 100, 100, 100, 100, 99.7181, 100, 100, 100, 99.358, 
2019 Aug 19 (Mon) 10:30, 100, 98.8601, 100, 98.1562, 100, 100, 100, 98.1581, 100, 100, 100, 100, 100, 100, 99.976, 100, 100, 100, 99.7026, 100, 99.2366, 98.6509, 100, 98.3305, 100, 100, 100, 100, 98.2217, 99.1661, 100, 100, 99.2438, 100, 98.8577, 99.6245, 100, 98.9958, 100, 100, 100, 100, 100, 98.75, 99.2296, 100, 100, 100, 100, 99.7181, 100, 100, 100, 99.358, 
