Time, PhaseA, PhaseB, PhaseC, Neutral
2019 Aug 19 (Mon) 0:00, 0.994305, 0.991308, 0.986958, 0.865619
2019 Aug 19 (Mon) 0:30, 0.951579, 0.978257, 0.968441, 0.915166
2019 Aug 19 (Mon) 1:00, 0.965427, 0.965442, 0.965448, 0.997911
2019 Aug 19 (Mon) 1:30, 0.960235, 0.960252, 0.960259, 0.99789
2019 Aug 19 (Mon) 2:00, 0.904246, 0.904278, 0.904302, 0.997542
2019 Aug 19 (Mon) 2:30, 0.956797, 0.956815, 0.956823, 0.997885
2019 Aug 19 (Mon) 3:00, 0.970694, 0.970706, 0.97071, 0.997981
2019 Aug 19 (Mon) 3:30, 0.959377, 0.959394, 0.959401, 0.997895
2019 Aug 19 (Mon) 4:00, 0.937282, 0.937307, 0.93732, 0.997759
2019 Aug 19 (Mon) 4:30, 0.926439, 0.926467, 0.926483, 0.99766
2019 Aug 19 (Mon) 5:00, 0.949946, 0.949967, 0.949976, 0.997798
2019 Aug 19 (Mon) 5:30, 0.972417, 0.972429, 0.972433, 0.997949
2019 Aug 19 (Mon) 6:00, 0.975055, 0.975066, 0.975069, 0.997962
2019 Aug 19 (Mon) 6:30, 0.90349, 0.903516, 0.903536, 0.997262
2019 Aug 19 (Mon) 7:00, 0.93226, 0.932283, 0.932296, 0.997472
2019 Aug 19 (Mon) 7:30, 0.928108, 0.92813, 0.928144, 0.997374
2019 Aug 19 (Mon) 8:00, 0.935594, 0.935616, 0.935628, 0.997467
2019 Aug 19 (Mon) 8:30, 0.899441, 0.899467, 0.899487, 0.997188
2019 Aug 19 (Mon) 9:00, 0.901059, 0.901085, 0.901105, 0.997217
2019 Aug 19 (Mon) 9:30, 0.939785, 0.939807, 0.93982, 0.997586
2019 Aug 19 (Mon) 10:00, 0.962792, 0.962808, 0.962814, 0.997827
2019 Aug 19 (Mon) 10:30, 0.975059, 0.97507, 0.975074, 0.997966
2019 Aug 19 (Mon) 11:00, 0.956761, 0.95678, 0.956788, 0.99778
2019 Aug 19 (Mon) 11:30, 0.959336, 0.959354, 0.959361, 0.997792
2019 Aug 19 (Mon) 12:00, 0.957613, 0.957631, 0.957639, 0.997769
2019 Aug 19 (Mon) 12:30, 0.936434, 0.936457, 0.93647, 0.997566
2019 Aug 19 (Mon) 13:00, 0.977709, 0.977719, 0.977722, 0.997982
2019 Aug 19 (Mon) 13:30, 0.96714, 0.967155, 0.96716, 0.997874
2019 Aug 19 (Mon) 14:00, 0.923138, 0.923163, 0.92318, 0.997472
2019 Aug 19 (Mon) 14:30, 0.897796, 0.897825, 0.897847, 0.997279
2019 Aug 19 (Mon) 15:00, 0.973274, 0.973286, 0.97329, 0.997928
2019 Aug 19 (Mon) 15:30, 0.952467, 0.952486, 0.952495, 0.997678
2019 Aug 19 (Mon) 16:00, 0.973248, 0.97326, 0.973264, 0.997896
2019 Aug 19 (Mon) 16:30, 0.944821, 0.94484, 0.944851, 0.997518
2019 Aug 19 (Mon) 17:00, 0.954994, 0.95501, 0.955018, 0.99758
2019 Aug 19 (Mon) 17:30, 0.928116, 0.928133, 0.928144, 0.997118
2019 Aug 19 (Mon) 18:00, 0.922354, 0.922369, 0.922379, 0.996907
2019 Aug 19 (Mon) 18:30, 0.988908, 0.992169, 0.986734, 0.997927
2019 Aug 19 (Mon) 19:00, 0.98682, 0.990753, 0.984464, 0.997766
2019 Aug 19 (Mon) 19:30, 0.95579, 0.955802, 0.955809, 0.997379
2019 Aug 19 (Mon) 20:00, 0.968749, 0.96876, 0.968765, 0.997657
2019 Aug 19 (Mon) 20:30, 0.902023, 0.902035, 0.902046, 0.99647
2019 Aug 19 (Mon) 21:00, 0.936413, 0.936427, 0.936436, 0.997086
2019 Aug 19 (Mon) 21:30, 0.933088, 0.933103, 0.933113, 0.997083
2019 Aug 19 (Mon) 22:00, 0.93392, 0.933937, 0.933948, 0.997204
2019 Aug 19 (Mon) 22:30, 0.929769, 0.929788, 0.9298, 0.997223
2019 Aug 19 (Mon) 23:00, 0.926455, 0.926476, 0.926489, 0.997296
2019 Aug 19 (Mon) 23:30, 0.903505, 0.90353, 0.903549, 0.997184
2019 Aug 20 (Tue) 0:00, 0.934764, 0.934788, 0.934802, 0.997591
