Time, PhaseA, PhaseB, PhaseC, Neutral
2019 Aug 19 (Mon) 0:00, 0.934486, 0.962237, 0.960683, 0.945582
2019 Aug 19 (Mon) 0:30, 0.915836, 0.951866, 0.915693, 0.937707
2019 Aug 19 (Mon) 1:00, 0.965427, 0.965442, 0.965448, 0.955062
2019 Aug 19 (Mon) 1:30, 0.960235, 0.960252, 0.960259, 0.950368
2019 Aug 19 (Mon) 2:00, 0.904246, 0.904278, 0.904302, 0.890029
2019 Aug 19 (Mon) 2:30, 0.956797, 0.956815, 0.956823, 0.947711
2019 Aug 19 (Mon) 3:00, 0.970694, 0.970706, 0.97071, 0.963006
2019 Aug 19 (Mon) 3:30, 0.959377, 0.959394, 0.959401, 0.949959
2019 Aug 19 (Mon) 4:00, 0.937282, 0.937307, 0.93732, 0.92619
2019 Aug 19 (Mon) 4:30, 0.926439, 0.926467, 0.926483, 0.913005
2019 Aug 19 (Mon) 5:00, 0.949946, 0.949966, 0.949976, 0.938457
2019 Aug 19 (Mon) 5:30, 0.972417, 0.972429, 0.972433, 0.961718
2019 Aug 19 (Mon) 6:00, 0.975055, 0.975066, 0.975069, 0.96373
2019 Aug 19 (Mon) 6:30, 0.903489, 0.903516, 0.903536, 0.880278
2019 Aug 19 (Mon) 7:00, 0.93226, 0.932283, 0.932296, 0.911234
2019 Aug 19 (Mon) 7:30, 0.928108, 0.92813, 0.928144, 0.903715
2019 Aug 19 (Mon) 8:00, 0.935594, 0.935616, 0.935628, 0.913202
2019 Aug 19 (Mon) 8:30, 0.899441, 0.899467, 0.899487, 0.875377
2019 Aug 19 (Mon) 9:00, 0.901059, 0.901085, 0.901105, 0.877519
2019 Aug 19 (Mon) 9:30, 0.939785, 0.939807, 0.93982, 0.921358
2019 Aug 19 (Mon) 10:00, 0.962792, 0.962808, 0.962814, 0.948251
2019 Aug 19 (Mon) 10:30, 0.975059, 0.97507, 0.975074, 0.964067
2019 Aug 19 (Mon) 11:00, 0.956761, 0.95678, 0.956788, 0.942054
2019 Aug 19 (Mon) 11:30, 0.959336, 0.959354, 0.959361, 0.944622
2019 Aug 19 (Mon) 12:00, 0.957613, 0.957631, 0.957639, 0.942243
2019 Aug 19 (Mon) 12:30, 0.936434, 0.936457, 0.93647, 0.917304
2019 Aug 19 (Mon) 13:00, 0.977709, 0.977719, 0.977722, 0.965677
2019 Aug 19 (Mon) 13:30, 0.96714, 0.967155, 0.96716, 0.953949
2019 Aug 19 (Mon) 14:00, 0.923138, 0.923163, 0.92318, 0.903678
2019 Aug 19 (Mon) 14:30, 0.897796, 0.897825, 0.897847, 0.876076
2019 Aug 19 (Mon) 15:00, 0.973274, 0.973286, 0.97329, 0.960338
2019 Aug 19 (Mon) 15:30, 0.952467, 0.952486, 0.952495, 0.934001
2019 Aug 19 (Mon) 16:00, 0.973248, 0.97326, 0.973264, 0.957821
2019 Aug 19 (Mon) 16:30, 0.944821, 0.94484, 0.944851, 0.921792
2019 Aug 19 (Mon) 17:00, 0.954994, 0.95501, 0.955018, 0.930857
2019 Aug 19 (Mon) 17:30, 0.928116, 0.928133, 0.928144, 0.894892
2019 Aug 19 (Mon) 18:00, 0.922354, 0.922369, 0.922379, 0.884699
2019 Aug 19 (Mon) 18:30, 0.942676, 0.944553, 0.943997, 0.906425
2019 Aug 19 (Mon) 19:00, 0.93346, 0.93547, 0.934862, 0.895946
2019 Aug 19 (Mon) 19:30, 0.95579, 0.955802, 0.955809, 0.921206
2019 Aug 19 (Mon) 20:00, 0.968749, 0.96876, 0.968765, 0.940412
2019 Aug 19 (Mon) 20:30, 0.902023, 0.902035, 0.902046, 0.858032
2019 Aug 19 (Mon) 21:00, 0.936413, 0.936427, 0.936436, 0.898639
2019 Aug 19 (Mon) 21:30, 0.933088, 0.933103, 0.933113, 0.897371
2019 Aug 19 (Mon) 22:00, 0.93392, 0.933937, 0.933948, 0.901804
2019 Aug 19 (Mon) 22:30, 0.929769, 0.929788, 0.9298, 0.899909
2019 Aug 19 (Mon) 23:00, 0.926455, 0.926476, 0.926489, 0.900357
2019 Aug 19 (Mon) 23:30, 0.903505, 0.90353, 0.903549, 0.878048
2019 Aug 20 (Tue) 0:00, 0.934764, 0.934788, 0.934801, 0.917322
